word,ipa
inversion,ɪnvɹ̩ʒən
palisades,pælɪsejdz
maverick,mævɹ̩ɪk
mogami,mowɡɑmi
timing,tajmɪŋ
aerodynamic,ɛɹowdajnæmɪk
hatton,hætən
scary,skɛɹi
torrens,tɔɹənz
elliptical,ɪlɪptɪkəl
unicode,junɪkowd
regretted,ɹɪɡɹɛtɪd
biafra,bajɑfɹə
loco,lowkow
logically,lɑd͡ʒɪkli
puget,pjud͡ʒɪt
incidental,ɪnsɪdɛntəl
saving,sejvɪŋ
bendigo,bɛndiɡow
arif,æɹɪf
gorica,ɡɔɹikə
scipio,sɪpiow
textile,tɛkstajl
click,klɪk
utilitarian,jutɪlətɛɹiən
infested,ɪnfɛstəd
flaps,flæps
mould,mowld
besar,bɪsɑɹ̩
inefficient,ɪnɪfɪʃənt
contraceptives,kɑntɹəsɛptɪvz
dissertation,dɪsɹ̩tejʃən
heinrich,hajnɹɪk
excavates,ɛkskəvejts
evoke,ɪvowk
ovary,owvɹ̩i
attacking,ətækɪŋ
techniques,tɛkniks
diarrhoea,dajɹ̩iə
amyloid,æmɪlojd
continuity,kɑntənuəti
mental,mɛntəl
ethereal,ɪθɪɹiəl
gan,ɡæn
blimp,blɪmp
best,bɛst
destroyer,dɪstɹojɹ̩
murray,mɹ̩i
twigs,twɪɡz
bonded,bɑndəd
forensic,fɹ̩ɛnsɪk
forked,fɔɹkt
reclassified,ɹiklæsəfajd
compensates,kɑmpənsejts
topical,tɑpəkəl
interfering,ɪntɹ̩fɪɹɪŋ
caldera,kældɛɹə
bournemouth,bɔɹnəməθ
tone,town
rebroadcast,ɹibɹɔdkæst
name’s,nejmɛz
remakes,ɹimejks
cancelled,kænsəld
bog,bɑɡ
olds,owldz
xenophon,zɛnəfən
alastair,æləstɛɹ
plum,plʌm
correspondent,kɔɹəspɑndənt
carpeted,kɑɹpətɪd
semitic,səmɪtɪk
superheated,supɹ̩hitɪd
easter,istɹ̩
thummim,θʌməm
headlined,hɛdlajnd
spruce,spɹus
stratosphere,stɹætəsfɪɹ
airmen,ɛɹmɛn
ramakrishna,ɹæmækɹɪʃnə
dundee,dəndi
guarani,ɡwɑɹəni
behold,bɪhowld
agreeable,əɡɹiəbəl
watertown,wɔtɹ̩tawn
yearly,jɪɹli
argument,ɑɹɡjəmənt
sting,stɪŋ
seat,sit
inaugural,ɪnɔɡɹ̩əl
laird,lɛɹd
youtube,jutub
abdication,æbdɪkejʃən
objector,əbd͡ʒɛktɹ̩
kicked,kɪkt
thieves,θivz
apprenticeship,əpɹɛntəsʃɪp
quadrant,kwɑdɹənt
hawkes,hɔks
cubic,kjubɪk
middle,mɪdəl
gladiator,ɡlædiejtɹ̩
horus,hɔɹəs
disconnected,dɪskənɛktɪd
distillation,dɪstɪlejʃən
precession,pɹisɛʃən
eugene,jud͡ʒin
dingwall,dɪŋɡwəl
hornchurch,hɔɹnt͡ʃɹ̩t͡ʃ
embedding,ɪmbɛdɪŋ
unicameral,junɪkəmɹ̩əl
arrives,ɹ̩ajvz
mickey,mɪki
margins,mɑɹd͡ʒənz
hatchet,hæt͡ʃət
brill,bɹɪl
chaos,kejɑs
expressionism,ɪkspɹɛʃənɪzəm
epidemics,ɛpədɛmɪks
hallucinations,həlusənejʃənz
telegram,tɛləɡɹæm
cleverly,klɛvɹ̩li
kobe,kowb
baseline,bejslajn
vai,vaj
acne,ækni
glycemic,ɡlajsɛmɪk
overrides,owvɹ̩ɹajdz
pagoda,pəɡowdə
saved,sejvd
hydroelectric,hajdɹowɪlɛktɹɪk
winners,wɪnɹ̩z
rank,ɹæŋk
utilized,jutəlajzd
reggio,ɹɛd͡ʒiow
craftsmen,kɹæftsmən
gateshead,ɡejtzhɛd
mildly,majldli
alluded,əludəd
conferences,kɑnfɹ̩ənsəz
battle,bætəl
teashop,tiʃɑp
anchorage,æŋkɹ̩əd͡ʒ
plc,plk
hesiod,hisiəd
warwickshire,wɔɹwɪkʃɹ
defences,dɪfənsɪz
fumble,fʌmbəl
importing,ɪmpɔɹtɪŋ
withdrawal,wɪðdɹɔəl
glen,ɡlɛn
term,tɹ̩m
horizontal,hɔɹəzɑntəl
pandavas,pændəvɑz
loaned,lownd
alfalfa,ælfælfə
feebly,fibli
pilots,pajləts
perpetually,pɹ̩pɛt͡ʃuəli
accused,əkjuzd
lakeside,lejksajd
merv,mɹ̩v
civilized,sɪvəlajzd
americana,əmɛɹəkænə
desalination,disejlɪnejʃən
sorrow,sɑɹow
criticizing,kɹɪtɪsajzɪŋ
departed,dɪpɑɹtəd
tallinn,tɑlin
clovis,klowvɪs
vida,vajdə
clothed,klowðd
specialities,spɛʃəltiz
concerns,kənsɹ̩nz
weisman,wajsmən
slanted,slæntəd
cheapest,t͡ʃipəst
complementing,kɑmpləmɛntɪŋ
dikes,dajks
chair,t͡ʃɛɹ
coders,kowdɹ̩z
asceticism,əsɛtəsɪzəm
climber,klajmɹ̩
customised,kʌstəməsd
questioned,kwɛst͡ʃənd
logarithm,lɑɡɹ̩ɪðəm
window,wɪndow
stirlingshire,stɹ̩lɪŋʃajɹ
hibbert,hɪbɹ̩t
attributed,ətɹɪbjətəd
corresponded,kɔɹəspɑndɪd
handwritten,hændɹɪtən
cocky,kɑki
codified,kɑdəfajd
vessel,vɛsəl
henson,hɛnsən
bombardier,bɑmbɹ̩dɪɹ
entail,ɛntejl
cordially,kɔɹd͡ʒəli
fear,fɪɹ
blows,blowz
granger,ɡɹejnd͡ʒɹ̩
faroese,fɛɹ̩ows
yeshiva,jɛʃivə
consortium,kənsɔɹʃiəm
southsea,sawθsiə
normalized,nɔɹməlajzd
canyon,kænjən
gravel,ɡɹævəl
ideologically,ajdiəlɑd͡ʒɪkli
glamorgan,ɡlæmɹɡən
growl,ɡɹawl
sprang,spɹæŋ
taunton,tɔntən
naturalistic,næt͡ʃɹ̩əlɪstɪk
stretches,stɹɛt͡ʃəz
notch,nɑt͡ʃ
xanthine,zænθin
renounce,ɹɪnawns
repudiated,ɹipjudiejtəd
divergence,dajvɹ̩d͡ʒəns
romano,ɹowmɑnow
invading,ɪnvejdɪŋ
roam,ɹowm
radiator,ɹejdiejtɹ̩
popes,powps
reform,ɹəfɔɹm
obama,owbɑmə
jeannie,d͡ʒini
obliged,əblajd͡ʒd
awakenings,əwejkənɪŋz
judaism,d͡ʒudejɪzəm
rock,ɹɑk
proportions,pɹəpɔɹʃənz
sauce,sɔs
assassin,əsæsən
curse,kɹ̩s
animate,ænəmət
devotion,dɪvowʃən
tabor,tejbɹ̩
bliss,blɪs
freshly,fɹɛʃli
sledding,slɛdɪŋ
dredged,dɹɛd͡ʒd
farrell,fɛɹɪl
showdown,ʃowdawn
hereditary,hɹ̩ɛdətɛɹi
alone,əlown
elegant,ɛləɡənt
plantings,plæntɪŋz
candles,kændəlz
quail,kwejl
elaborately,ɪlæbɹətli
transactional,tɹænzækʃənəl
buccaneers,bʌkəniɹz
midlands,mɪdlændz
arusha,ɹ̩ʌʃə
displaced,dɪsplejst
fracture,fɹækt͡ʃɹ̩
standpoint,stændpojnt
viewings,vjuɪŋz
buses,bʌsɪz
unlucky,ənlʌki
duplication,djupləkejʃən
instrumentalist,ɪnstɹəmɛntəlɪst
submarine,sʌbmɹ̩in
husk,hʌsk
suffer,sʌfɹ̩
tau,tow
withering,wɪðɹ̩ɪŋ
circumstances,sɹ̩kəmstænsəz
ignition,ɪɡnɪʃən
pandas,pændəz
functioned,fʌŋkʃənd
amesbury,æmɛzbɛɹi
lil,lɪl
orienteering,ɔɹiɛntɪɹɪŋ
roy,ɹoj
czech,t͡ʃɛk
ritual,ɹɪt͡ʃuəl
montage,mɑntɪd͡ʒ
schleswig,ʃlɛswɪɡ
locals,lowkəlz
intensely,ɪntɛnsli
clem,klɛm
handicapped,hændikæpt
preaching,pɹit͡ʃɪŋ
innervated,ɪnɹ̩vejtɪd
fibonacci,fɪbownɑt͡ʃi
tolerable,tɑlɹ̩əbəl
vengeful,vɛnd͡ʒfəl
louis,luɪs
adhered,ædhɪɹd
madurai,mədʊɹi
haymarket,hejmɑɹkɪt
brasenose,bɹejsənows
wholesome,howlsəm
biographer,bajɑɡɹəfɹ̩
chambers,t͡ʃejmbɹ̩z
hippopotamus,hɪpəpɑtəməs
sieve,sɪv
schenectady,skənɛktədi
trigonometric,tɹɪɡownɑmɛtɹɪk
passwords,pæswɹ̩dz
shouts,ʃawts
dissimilar,dɪssɪməlɹ̩
neighbor,nejbɹ̩
clasped,klæspt
ranges,ɹejnd͡ʒəz
tartu,tɑɹtu
pious,pajəs
finer,fajnɹ̩
sentient,sɛntənt
misconceptions,mɪskənsɛpʃənz
phosphoric,fɑsfɹ̩ɪk
factions,fækʃənz
civilian,səvɪljən
apprehensive,æpɹɪhɛnsɪv
collars,kɑlɹ̩z
accommodates,əkɑmədejts
counterclockwise,kawntɹ̩klɑkwajz
seatbelt,sitblt
quack,kwæk
sentiments,sɛntəmənts
doorway,dɔɹwej
adair,ədɛɹ
authorities,əθɔɹətiz
ricketts,ɹɪkɪts
grabbing,ɡɹæbɪŋ
golf,ɡɑlf
historicity,hɪstɔɹɪsəti
nauseating,nɔʒiejtɪŋ
marguerite,mɑɹɡɹ̩it
ozzie,ɑzi
corsicana,kɔɹsəkænə
turbans,tɹ̩bənz
incorporation,ɪnkɔɹpɹ̩ejʃən
trout,tɹawt
procrastinating,pɹəkɹæstənejtɪŋ
congested,kənd͡ʒɛstəd
bergman,bɹ̩ɡmən
boilerplate,bojlɹ̩plejt
readings,ɹɛdɪŋz
tun,tʌn
schwarzenegger,ʃwɔɹzənejɡɹ̩
lifetime,lajftajm
nirvana,nɪɹvɑnə
etna,ɛtnə
greet,ɡɹit
apartheid,əpɑɹtajt
antitrust,æntajtɹʌst
swarm,swɔɹm
diorite,dajɹ̩ajt
rind,ɹajnd
diy,dɪaj
confess,kənfɛs
powers,pawɹ̩z
episodes,ɛpəsowdz
prehistoric,pɹihɪstɔɹɪk
princeton,pɹɪnstən
colony,kɑləni
fern,fɹ̩n
fashionable,fæʃənəbəl
bottles,bɑtəlz
gooch,ɡut͡ʃ
amen,ejmɛn
gated,ɡejtɪd
hewn,hjun
mediate,midiejt
convent,kɑnvənt
conserving,kənsɹ̩vɪŋ
moonlight,munlajt
decorated,dɛkɹ̩ejtəd
pistols,pɪstəlz
glomerulus,ɡlɑmɹ̩ələs
uniforms,junəfɔɹmz
reprint,ɹipɹɪnt
tainted,tejntɪd
allergy,ælɹ̩d͡ʒi
council,kawnsəl
incorrect,ɪnkɹ̩ɛkt
groundsman,ɡɹawndzmən
safford,sæfɹ̩d
eukaryotic,ʌkɛɹiɑtɪk
current,kɹ̩ənt
frost,fɹɔst
aspiring,əspajɹɪŋ
catapult,kætəpʌlt
calumet,kæljəmɛt
episode,ɛpəsowd
vladimir,vlædəmɪɹ
razors,ɹejzɹ̩z
muff,mʌf
photographing,fowtəɡɹæfɪŋ
localised,lowkəlajzd
patricia,pətɹɪʃə
sells,sɛlz
mariana,mɛɹiænə
immaculate,ɪmækjulɪt
biographies,bajɑɡɹəfiz
fabulous,fæbjələs
sophomore,sɑfmɔɹ
automobiles,ɔtəmowbilz
felons,fɛlənz
haired,hɛɹd
stalled,stɔld
subsided,səbsajdɪd
perestroika,pɛɹəstɹojkə
penang,pɛnæŋ
revenged,ɹɛvɛnd͡ʒd
dune,dun
menace,mɛnəs
tuba,tubə
priestesses,pɹistəsəz
airbase,ɛɹbejs
antony,æntəni
customs,kʌstəmz
broke,bɹowk
closing,klowzɪŋ
interscope,ɪntɹ̩skowp
semicircular,sɛmisɹ̩kjəlɹ̩
faris,fɛɹɪs
jaime,hajmi
tested,tɛstəd
formality,fɔɹmæləti
tyrannosaurus,tajɹənəsɔɹəs
coaches,kowt͡ʃɪz
frankie,fɹæŋki
cannon,kænən
providers,pɹəvajdɹ̩z
sportsmen,spɔɹtsmɪn
keypress,kipɹɛs
bronx,bɹɑŋks
illusory,ɪlusɹ̩i
expansive,ɪkspænsɪv
consonants,kɑnsənənts
rate,ɹejt
branchlets,bɹænt͡ʃləts
waterville,wɔtɹ̩vɪl
obligations,ɑbləɡejʃənz
compaction,kəmpækʃən
excision,ɪksɪʒən
stumbling,stʌmbəlɪŋ
modulation,mɑd͡ʒəlejʃən
dolomite,dowləmajt
eliminated,ɪlɪmənejtəd
creditors,kɹɛdɪtɹ̩z
remarry,ɹimɛɹi
geese,ɡis
mayoral,mejɹ̩əl
tavis,tɑvɪs
ruskin,ɹʌskɪn
indifference,ɪndɪfɹ̩əns
ain’t,ejnt
valladolid,vælədɑlɪd
raise,ɹejz
heracles,hɛɹəkəlz
salamanca,sæləmæŋkə
marines,mɹ̩inz
screwdriver,skɹudɹajvɹ̩
garrick,ɡɛɹɪk
book,bʊk
digs,dɪɡz
mayors,mejɹ̩z
referencing,ɹɛfɹ̩ənsɪŋ
bacchus,bækɪs
neuhaus,nuhaws
grassroots,ɡɹæsɹuts
perkins,pɹ̩kənz
encourages,ɛnkɹ̩ɪd͡ʒɪz
blinking,blɪŋkɪŋ
herbivores,hɹ̩bɪvɔɹz
graduates,ɡɹæd͡ʒəwəts
helpers,hɛlpɹ̩z
rename,ɹinejm
harbinger,hɑɹbɪnd͡ʒɹ̩
pitfalls,pɪtfɔlz
obstinate,ɑbstənət
exchanges,ɪkst͡ʃejnd͡ʒəz
avocado,ævəkɑdow
sighing,sajɪŋ
story,stɔɹi
deactivated,diæktɪvejtɪd
appalling,əpɔlɪŋ
tilling,tɪlɪŋ
chunks,t͡ʃʌŋks
parasympathetic,pɛɹəsɪmpəθɛtɪk
harmless,hɑɹmləs
dollhouse,dɑlhaws
rounders,ɹawndɹ̩z
hydrant,hajdɹənt
fayoum,fejm
wolverine,wʊlvɹ̩in
preteens,pɹitinz
decade,dɛkejd
exploratory,ɪksplɔɹətɔɹi
mentor,mɛntɔɹ
litmus,lɪtməs
peacock,pikɑk
aspired,əspajɹd
befitting,bɪfɪtɪŋ
tisha,tɪʃə
fixate,fɪksejt
believes,bɪlivz
implying,ɪmplajɪŋ
arab,æɹəb
neat,nit
stanzas,stænzəz
cornfield,kɔɹnfild
philology,fɪlələd͡ʒi
pierre,piɛɹ
satchel,sæt͡ʃəl
laval,ləvɑl
nigra,nɪɡɹə
binomial,bajnowmiəl
revel,ɹɛvəl
electrically,ɪlɛktɹɪkəli
beds,bɛdz
invasion,ɪnvejʒən
wordy,wɹ̩di
transverse,tɹænzvɹ̩s
classy,klæsi
bard,bɑɹd
gouache,ɡət͡ʃ
kevin,kɛvɪn
engaging,ɛnɡejd͡ʒɪŋ
drool,dɹul
valle,vejl
optioned,ɑpʃənd
tupac,tupæk
entertain,ɛntɹ̩tejn
schema,ʃkmə
nicks,nɪks
cyndi,sɪndi
softball,sɔftbɔl
exploring,ɪksplɔɹɪŋ
baldy,bɔldi
younger,jʌŋɡɹ̩
osborne,ɔzbɔɹn
vikings,vajkɪŋz
sigismund,sɪɡɪzmənd
tri,tɹaj
wakefulness,wejkfəlnəs
underlay,ʌndɹ̩lej
yazoo,jəzu
touchy,tʌt͡ʃi
shipwreck,ʃɪpɹɪk
ren,ɹɛn
staffed,stæft
ancestors,ænsɛstɹ̩z
huckleberry,hʌkəlbɛɹi
birdlife,bɹ̩dlajf
yankovic,jæŋkəvɪk
downward,dawnwɹ̩d
eagles,iɡəlz
ramon,ɹəmown
aeronaut,ɛɹənɔt
jesuits,d͡ʒɛʒuɪts
identify,ajdɛntəfaj
blogger,blɑɡɹ̩
lytle,lajtəl
stringy,stɹɪŋi
resignation,ɹɛzəɡnejʃən
locating,lowkejtɪŋ
undertaking,ʌndɹ̩tejkɪŋ
uxbridge,ʌksbɹɪd͡ʒ
creationism,kɹiejʃənɪzəm
pivotal,pɪvətəl
typos,tajpowz
afghanistan,æfɡænəstæn
blared,blɛɹd
wheeling,wilɪŋ
webbed,wɛbd
terns,tɹ̩nz
ammonia,əmownjə
nudity,nudɪti
octet,ɑktɛt
meetings,mitɪŋz
vexation,vɛksejʃən
hire,hajɹ̩
briefcase,bɹifkejs
cranmer,kɹænmɹ̩
dosage,dowsəd͡ʒ
sanctuary,sæŋkt͡ʃuɛɹi
stamford,stæmfɹ̩d
cartan,kɑɹtən
threatening,θɹɛtənɪŋ
liquefied,lɪkwəfajd
scrapers,skɹejpɹ̩z
korn,kɔɹn
vile,vajl
uruguayan,jɹ̩əɡwejən
flyover,flajowvɹ̩
strengthening,stɹɛŋθənɪŋ
reggaeton,ɹɛɡɡɑɪtən
bundled,bʌndəld
alliances,əlajənsəz
bee,bi
proprietor,pɹəpɹajətɹ̩
skirts,skɹ̩ts
parque,pɑɹk
quarterback,kwɔɹtɹ̩bæk
stuffed,stʌft
boner,bownɹ̩
seminal,sɛmənəl
pocomoke,powkəmowk
kearney,kɹ̩ni
nickelodeon,nɪkɪlowdiən
sylvie,sɪlvi
glockenspiel,ɡlɑkənspil
fantasia,fæntejʒə
territory,tɛɹɪtɔɹi
santos,sæntows
quiz,kwɪz
urea,jɹ̩iə
propositions,pɹɑpəzɪʃənz
fluminense,flumənɛns
mitre,mɪtɹi
grating,ɡɹejtɪŋ
mcmanus,məkmænəs
cleaner,klinɹ̩
partitioned,pɑɹtɪʃənd
imitations,ɪmɪtejʃənz
grigory,ɡɹɪɡɹ̩i
assimilated,əsɪməlejtɪd
tones,townz
messrs,mɛsɹ̩z
butte,bjut
poisons,pojzənz
hyades,hajədiz
kyrgyz,kɪɹɡajz
angevin,æŋɡɪvɪn
ripe,ɹajp
hushed,hʌʃt
mused,mjuzd
hazelnut,hejzəlnʌt
nance,næns
dil,dɪl
glider,ɡlajdɹ̩
landlords,lændlɔɹdz
monoclinic,mɑnəklɪnɪk
monomers,mɑnəmɹ̩z
helter,hɛltɹ̩
gold,ɡowld
nav,næv
jenna,d͡ʒɛnə
slapstick,slæpstɪk
ornamentation,ɔɹnəmɛntejʃən
hormone,hɔɹmown
azadirachtin,ɑzædɪɹəktɪn
panoramic,pænɹ̩æmɪk
moscow,mɑskow
claus,klɔz
daleks,dɑlɛks
voiceless,vojsləs
tickle,tɪkəl
neuropathy,nʊɹowpæθi
christine,kɹɪstin
fairs,fɛɹz
workman,wɹ̩kmən
louisa,luizə
mimicry,mɪmɪkɹi
fortune,fɔɹt͡ʃən
grandstand,ɡɹændstænd
recording,ɹəkɔɹdɪŋ
cuba,kjubə
inception,ɪnsɛpʃən
earthquake,ɹ̩θkwejk
physiologist,fɪziɑləd͡ʒɪst
slender,slɛndɹ̩
endings,ɛndɪŋz
unsuitable,ənsutəbəl
blames,blejmz
whenever,wɛnɛvɹ̩
disorganized,dɪsɔɹɡənajzd
demonstrates,dɛmənstɹejts
resolved,ɹizɑlvd
multimillion,mʌltajmɪljən
electric,ɪlɛktɹɪk
diversification,dajvɹ̩səfəkejʃən
clemens,klɛmənz
reds,ɹɛdz
coexist,kowəɡzɪst
funfair,fʌnfɛɹ
quarry,kwɔɹi
tatars,tætɹ̩z
emanating,ɛmənejtɪŋ
freight,fɹejt
anadromous,ɑnædɹəməs
macedonians,mæsədowniənz
storytelling,stɔɹitɛlɪŋ
peabody,pibɑdi
paterson,pætɹ̩sən
periods,pɪɹiədz
conscientious,kɑnʃiɛnʃəs
neighborhood,nejbɹ̩hʊd
contentious,kəntɛnʃəs
belinda,bəlɪndə
instructions,ɪnstɹʌkʃənz
suggesting,səɡd͡ʒɛstɪŋ
maze,mejz
surrender,sɹ̩ɛndɹ̩
finely,fajnli
remorse,ɹɪmɔɹs
matriculated,mejtɹɪkjəlejtɪd
royce,ɹojs
increments,ɪŋkɹəmənts
sweetwater,switwɑtɹ̩
dropped,dɹɑpt
boy,boj
sightings,sajtɪŋz
motive,mowtɪv
postgraduate,powstɡɹæd͡ʒəwət
oliver,ɑləvɹ̩
kempthorne,kɛmpθɹ̩n
guardians,ɡɑɹdiənz
hadad,hædəd
ethically,ɛθɪkəli
performers,pɹ̩fɔɹmɹ̩z
jimi,d͡ʒɪmi
nietzsche,nit͡ʃi
johnstown,d͡ʒɑnztawn
kicks,kɪks
iguana,ajɡwɑnə
dudley,dʌdli
isotopes,ajsətowps
koto,kowtow
amusements,əmjuzmənts
lecturers,lɛkt͡ʃɹ̩ɹ̩z
help,hɛlp
moonshine,munʃajn
unambiguously,ənæmbɪɡjuəsli
woodwinds,wʊdwɪndz
basaltic,bəsɑltɪk
isosurfaces,ajsɑsɹ̩fejsəz
fold,fowld
darkened,dɑɹkənd
berryman,bɛɹimən
corrupt,kɹ̩ʌpt
spices,spajsəz
omnivore,ɑmnɪvɔɹ
timur,tɪmɹ̩
substituted,sʌbstətutəd
pediment,pɛdəmənt
porto,pɔɹtow
mowed,mowd
booklets,bʊkləts
scouted,skawtəd
selina,səlinə
matsuri,mɑtsɹ̩i
therapists,θɛɹəpəsts
funded,fʌndəd
liquids,lɪkwədz
stonewall,stownwɔl
hammock,hæmək
invested,ɪnvɛstəd
tugs,tʌɡz
scales,skejlz
elm,ɛlm
aren’t,ɹənt
ambivalent,æmbɪvələnt
luge,lud͡ʒ
resulted,ɹɪzʌltɪd
translink,tɹænzlɪŋk
parma,pɑɹmə
linen,lɪnən
gussie,ɡʌsi
flint,flɪnt
roseville,ɹowzvɪl
wrongheaded,ɹɔŋhɛdɪd
reinstate,ɹiɪnstejt
mesozoic,mɛsəzowɪk
rheumatic,ɹumætɪk
garlands,ɡɑɹlændz
melded,mɛldəd
honeycomb,hʌnikowm
womanhood,wʊmənhʊd
raj,ɹɑʒ
dore,dɔɹ
pediatric,pidiætɹɪk
edgemont,ɛd͡ʒmɑnt
inclinations,ɪnklənejʃənz
integrating,ɪntəɡɹejtɪŋ
lengthy,lɛŋθi
mit,mɪt
rollo,ɹɑlow
irwin,ɹ̩wən
measure,mɛʒɹ̩
conservatoire,kənsɹ̩vətwɑɹ
boca,bowkə
petherton,pɛθɹ̩tən
barrios,bɑɹiowz
somebody,sʌmbɑdi
pine,pajn
arrays,ɹ̩ejz
covert,kowvɹ̩t
ionization,ajənəzejʃən
ridiculously,ɹədɪkjələsli
yorkshire,jɔɹkʃɹ̩
ade,ejd
colombia,kəlʌmbiə
glory,ɡlɔɹi
consolation,kɑnsəlejʃən
employment,ɛmplojmənt
revolt,ɹɪvowlt
diets,dajɪts
menzies,mɛnziz
sharpener,ʃɑɹpənɹ̩
payments,pejmənts
doris,dɔɹəs
pays,pejz
unstressed,ənstɹɛst
convex,kənvɛks
insurrection,ɪnsɹ̩ɛkʃən
some,sʌm
orchid,ɔɹkəd
lon,lɑn
bandy,bændi
currency,kɹ̩ənsi
needing,nidɪŋ
halt,hɔlt
puzzling,pʌzəlɪŋ
winfield,wɪnfild
decisions,dɪsɪʒənz
declines,dɪklajnz
extravagant,ɪkstɹævəɡənt
disused,dɪsjuzd
son,sʌn
devolution,dɛvəluʃən
broussard,bɹusɑɹd
springtime,spɹɪŋtajm
whitehouse,wajthaws
epistemological,ɪpɪstəmɑlɑd͡ʒɪkəl
perseverance,pɹ̩səvɪɹəns
tulane,tulejn
tatsuya,tætsujə
consummation,kɑnsəmejʃən
solihull,sowlɪhəl
hypocrite,hɪpəkɹɪt
unprofitable,ənpɹɑfɪtəbəl
tuk,tuk
cartridges,kɑɹtɹəd͡ʒəz
sustainability,səstejnəbɪlɪti
acclaimed,əklejmd
virginia,vɹ̩d͡ʒɪnjə
mantel,mæntəl
macrosystem,mækɹowsɪstəm
terminating,tɹ̩mənejtɪŋ
galleria,ɡælɹ̩iə
jams,d͡ʒæmz
pitiful,pɪtəfəl
extant,ɛkstənt
station,stejʃən
rix,ɹɪks
lock,lɑk
cel,t͡ʃɛl
goodwin,ɡʊdwɪn
parole,pɹ̩owl
mockingly,mɑkəŋli
perceptual,pɹ̩sɛpt͡ʃəwəl
sniffing,snɪfɪŋ
policy,pɑləsi
revenue,ɹɛvənu
transmissible,tɹænzmɪsəbəl
condemned,kəndɛmd
placement,plejsmənt
adorn,ədɔɹn
xtreme,ztɹm
retinal,ɹɛtənəl
adventures,ædvɛnt͡ʃɹ̩z
subjects,sʌbd͡ʒɪkts
pursue,pɹ̩su
shame,ʃejm
shriveled,ʃɹɪvəld
call,kɔl
forgery,fɔɹd͡ʒɹ̩i
modal,mowdəl
anchovies,ænt͡ʃowviz
documentation,dɑkjəmɛntejʃən
deep,dip
cared,kɛɹd
shamrock,ʃæmɹɑk
sited,sajtɪd
triclinic,tɹajklɪnɪk
anoka,ænowkə
expos,ɛkspowz
shamrocks,ʃæmɹəks
stressed,stɹɛst
rebooted,ɹɪbutɪd
backtracking,bæktɹækɪŋ
matrices,mejtɹɪsəz
ornithologist,ɔɹnɪtɑləd͡ʒɪst
rio,ɹiow
pseudomonas,sudəmownəz
converted,kənvɹ̩tɪd
celestial,səlɛst͡ʃəl
insular,ɪnsəlɹ̩
hasan,hejzən
luminous,lumənəs
byers,bajɹ̩z
savers,sejvɹ̩z
idaho,ajdəhow
wastewater,wejstwɔtɹ̩
gudrun,ɡʌdɹʌn
geysers,ɡajzɹ̩z
roe,ɹow
generous,d͡ʒɛnɹ̩əs
drifts,dɹɪfts
chloroform,klɔɹəfɔɹm
illuminate,ɪlumɪnɪt
will,wɪl
coil,kojl
bain,bejn
manning,mænɪŋ
arriva,ɹ̩ivə
strove,stɹowv
crystals,kɹɪstəlz
namco,næmkow
verified,vɛɹəfajd
dorsal,dɔɹsəl
courageous,kɹ̩ejd͡ʒəs
deny,dɪnaj
untreated,əntɹitɪd
condon,kɑndən
eng,ɛŋ
repose,ɹipowz
aerials,ɛɹiəlz
school’s,ʃkulz
everett,ɛvɹ̩ət
seventeen,sɛvəntin
sault,sɔlt
craig,kɹejɡ
strikes,stɹajks
fairbairn,fɛɹbɹ̩n
stimulation,stɪmjəlejʃən
facilitates,fəsɪlətejts
barry,bæɹi
cycle,sajkəl
acute,əkjut
niobium,najowbiəm
leans,linz
bongo,bɑŋɡow
capacitors,kəpæsətɹ̩z
ellsworth,ɛlzwɹ̩θ
ibn,ɪbən
pews,pjuz
wedged,wɛd͡ʒd
spirituality,spɪɹɪt͡ʃəwæləti
primogeniture,pɹajməd͡ʒɛnɪt͡ʃɹ̩
powdery,pawdɹ̩i
ogre,owɡɹ̩
axis,æksəs
compilations,kɑmpəlejʃənz
eustis,justəs
stunning,stʌnɪŋ
plague,plejɡ
wafer,wejfɹ̩
carmarthenshire,kɑɹmɑɹθənʃajɹ
labels,lejbəlz
handle,hændəl
koga,kowɡə
deadlines,dɛdlajnz
jeanne,d͡ʒin
shelburne,ʃɛlbɹ̩n
disappointed,dɪsəpojntɪd
infringement,ɪnfɹɪnd͡ʒmənt
neon,niɑn
lionsgate,lajənsɡejt
feeder,fidɹ̩
intelligible,ɪntɛləd͡ʒəbəl
lederer,lɛdɹ̩ɹ̩
literary,lɪtɹ̩ɛɹi
insist,ɪnsɪst
ringleaders,ɹɪŋlidɹ̩z
reginald,ɹɛd͡ʒənəld
czechoslovakia,t͡ʃɛkəslowvɑkiə
sepals,sɛpəlz
metrorail,mɛtɹɔɹ̩ejl
urgently,ɹ̩d͡ʒəntli
teaming,timɪŋ
sprague,spɹejɡ
experiments,ɪkspɛɹəmənts
laughter,læftɹ̩
perseus,pɹ̩siəs
flax,flæks
illuminatus,ɪlumənætəs
takeshi,təkɛʃi
clarksville,klɑɹksvɪl
archdiocese,ɑɹt͡ʃdajəsəs
rocca,ɹɑkə
quintus,kwɪntəs
analgesic,ænəld͡ʒisɪk
inge,ɪnd͡ʒ
fonts,fɑnts
stairwell,stɛɹwɛl
indications,ɪndəkejʃənz
ornament,ɔɹnəmənt
refund,ɹɪfʌnd
sushi,suʃi
karin,kɛɹɪn
builder,bɪldɹ̩
studios,studiowz
conceptually,kənsɛpt͡ʃuəli
